gestage	city	apartment	street	cell	dob	GENDER	region	initial	PID	YOB	pcode	RACE	gender	home	country	email	lname	fname	gp
30.6	Sand Springs	Apt 21	80 Mill St		2007-07-15	M	OK	H	2004454	2008	74063	White	male		USA	kevin.lee@example.com	Lee	Kevin	72004454
45.2	Tulsa		27 South Ave	800-471-8810	2006-11-22	F	OK	N	1614502	2007	74126	White	female	800-651-2242	USA	susan.williams@example.com	Williams	Susan	71614502
	Tulsa		52 Highland St		2000-12-27	F	OK	A	1482713	2001	74116	Inconsistent Data	female	800-576-9327	USA	susan.clark@example.com	Clark	Susan	71482713
36.7	Tulsa	Apt 9	53 Sunset Ave	800-277-1993	2003-12-14	M	OK	P	2080416	2004	74126	Inconsistent Data	male		USA	joseph.shaw@example.com	Shaw	Joseph	72080416
	Mounds		49 Meadow St	800-782-6765	2007-03-20	F	OK	V	1032702	2008	74047		female		USA	amy.shaw@example.com	Shaw	Amy	72004454
	Tulsa	Apt 29	19 Church St	800-960-9294	2003-10-02	M	OK	I	1081332	2004	74108	White	male		USA	joseph.ross@example.com	Ross	Joseph	72004454
42.1	Tulsa	Apt 13	35 Ridge St		1999-12-08	F	OK	R	880378	2000	74117	White	female		USA	amy.lee@example.com	Lee	Amy	72080416
32.4	Broken Arrow		2 Main Ave	800-504-6466	1995-02-22	M	OK	A	1186747	1996	74014	Inconsistent Data	male		USA	daniel.johnson@example.com	Johnson	Daniel	71032702
	Bixby	Apt 3	24 Pine Rd		2004-10-15	M	OK	G	1134281	2005	74008	White	male	800-539-3986	USA	patrick.taylor@example.com	Taylor	Patrick	71482713
36.6	Tulsa	Apt 21	35 Hill St		1968-05-31	F	OK	S	640264	1969	74126		female	800-112-8147	USA	kimberly.moore@example.com	Moore	Kimberly	71614502
40.3	Bixby	Apt 11	60 Willow Ave		1943-12-20	F	OK	G	644201	1944	74008		female	800-887-9494	USA	donna.wilson@example.com	Wilson	Donna	7880378
	Sapulpa	Apt 22	26 South Rd	800-808-7785	1951-08-23	F	OK	C	665677	1952	74066	White	female	800-599-2739	USA	ruth.black@example.com	Black	Ruth	72080416
39.2	Bixby		92 Pine Ave		1949-09-22	F	OK	Y	731673	1950	74008	White	female	800-534-9017	USA	sarah.graham@example.com	Graham	Sarah	71482713
	Broken Arrow	Apt 2	33 Park Ave	800-583-2533	1953-08-29	M	OK	Q	767980	1954	74014	White	male		USA	thomas.moore@example.com	Moore	Thomas	71032702
	Tulsa		32 Walnut Rd		1994-07-08	M	OK	V	897185	1995	74116	White	male	800-173-8713	USA	kevin.kelly@example.com	Kelly	Kevin	72080416
35.6	Bixby		23 Church Rd	800-979-6786	1965-08-09	M	OK	M	967332	1966	74008	White	male	800-870-3011	USA	william.robinson@example.com	Robinson	William	72004454
	Bixby		82 Lake St		1956-03-23	M	OK	N	981968	1957	74008	White	male	800-369-6403	USA	brian.brooks@example.com	Brooks	Brian	71614502
43.4	Bixby		42 Park St		1953-10-27	M	OK	P	1098667	1954	74008	White	male		USA	robert.hill@example.com	Hill	Robert	71081332
32.2	Bixby		25 Church St		1965-06-22	M	OK	Q	1213208	1966	74008		male	800-504-7344	USA	brian.gracia@example.com	Gracia	Brian	72080416
	Mounds	Apt 17	27 Park Rd		1945-05-01	M	OK	P	1272431	1946	74047	White	male		USA	stephan.graham@example.com	Graham	Stephan	71614502
	Tulsa	Apt 14	1 Hill Ave		1925-12-23	M	OK	X	1288992	1926	74117	Black or African American	male		USA	daniel.adams@example.com	Adams	Daniel	71614502
38.3	Sand Springs		90 Elm Rd	800-289-9370	1939-09-14	F	OK	N	1520204	1940	74063	White	female		USA	helen.james@example.com	James	Helen	71482713
	Bixby		77 North St		1964-01-21	F	OK	E	1540505	1965	74008	Hispanic	female	800-661-3584	USA	amy.clark@example.com	Clark	Amy	71482713
44.4	Bixby	Apt 16	1 Main St		1948-04-14	F	OK	P	1551992	1949	74008	Black or African American	female	800-258-4431	USA	lisa.coleman@example.com	Coleman	Lisa	72080416
	Tulsa		35 Meadow Rd		1933-06-16	M	OK	F	1557780	1934	74117	White	male	800-556-4849	USA	william.thomas@example.com	Thomas	William	72004454
40	Tulsa	Apt 9	1 Hill St	800-802-7225	1953-09-05	M	OK	V	1627321	1954	74108	White	male		USA	frank.taylor@example.com	Taylor	Frank	71614502
	Sapulpa		58 River Ave	800-430-7442	1940-12-14	F	OK	N	1642068	1941	74066	White	female		USA	betty.davis@example.com	Davis	Betty	72004454
	Broken Arrow	Apt 13	88 Hill Rd		1969-10-21	M	OK	R	1685497	1970	74014	White	male	800-123-3873	USA	richard.robinson@example.com	Robinson	Richard	72080416
37.9	Mounds		11 Sunset Rd		1939-08-30	M	OK	U	1768562	1940	74047	White	male		USA	carl.lee@example.com	Lee	Carl	71032702
	Broken Arrow	Apt 20	34 Hill St		1960-03-11	M	OK	X	1796238	1961	74014	White	male		USA	anthony.shaw@example.com	Shaw	Anthony	7880378
35.5	Bixby	Apt 18	2 Main Rd	800-176-9648	1950-07-31	M	OK	Z	1869612	1951	74008	Black or African American	male		USA	anthony.coleman@example.com	Coleman	Anthony	71614502
41.4	Sapulpa	Apt 2	70 Highland Ave		1981-08-10	M	OK	B	1951076	1982	74066	White	male	800-655-8699	USA	charles.williams@example.com	Williams	Charles	71482713
42.2	Broken Arrow	Apt 29	55 East St		1981-12-18	M	OK	I	2042917	1982	74014	Black or African American	male	800-393-8687	USA	michael.lewis@example.com	Lewis	Michael	72080416
	Sapulpa	Apt 24	65 Ridge St		1927-12-11	F	OK	T	2081539	1928	74066	White	female	800-853-8117	USA	michelle.wilson@example.com	Wilson	Michelle	7880378
32.7	Tulsa	Apt 22	29 Walnut St		1961-02-11	F	OK	P	2113340	1962	74108	Asian	female		USA	sharon.green@example.com	Green	Sharon	71482713
	Tulsa	Apt 21	88 River Ave		1979-12-21	F	OK	L	2169591	1980	74126	White	female	800-460-5876	USA	karen.lewis@example.com	Lewis	Karen	71614502
	Mounds		34 Center St	800-652-1498	1948-07-15	M	OK	F	2347217	1949	74047	Hispanic	male		USA	steven.coleman@example.com	Coleman	Steven	7880378
38.2	Bixby		90 Hill St		1959-07-10	F	OK	U	2354220	1960	74008	White	female		USA	lisa.young@example.com	Young	Lisa	72080416
	Broken Arrow		17 River Rd		1934-02-07	F	OK	I	2502813	1935	74014	White	female	800-832-2470	USA	dorothy.owens@example.com	Owens	Dorothy	72080416
41.1	Tulsa		26 River Ave	800-634-6479	1961-09-18	M	OK	U	621799	1962	74116	White	male		USA	joshua.diaz@example.com	Diaz	Joshua	71081332
35.7	Bixby		89 Elm Ave	800-959-4263	1981-10-27	F	OK	Z	629528	1982	74008	White	female		USA	michelle.harris@example.com	Harris	Michelle	71614502
	Mounds	Apt 7	56 North Rd		1991-06-07	F	OK	C	724111	1992	74047	White	female	800-439-6984	USA	amy.morgan@example.com	Morgan	Amy	72004454
33.3	Mounds	Apt 30	3 Main Rd		1953-08-26	F	OK	C	765583	1954	74047	White	female		USA	ruth.cook@example.com	Cook	Ruth	71482713
	Mounds		33 East Ave		1953-02-21	M	OK	A	935270	1954	74047	White	male		USA	stephan.lewis@example.com	Lewis	Stephan	71614502
45.2	Tulsa		96 East Rd	800-232-5751	1954-08-21	M	OK	P	1137192	1955	74108	White	male		USA	joshua.williams@example.com	Williams	Joshua	72080416
38.3	Tulsa		36 South St	800-971-5389	1949-11-04	F	OK	U	1157764	1950	74108	White	female		USA	carol.hughes@example.com	Hughes	Carol	7880378
	Tulsa		57 Ridge Ave	800-383-7276	1932-02-26	F	OK	T	1291938	1933	74116	White	female	800-534-4473	USA	carol.young@example.com	Young	Carol	71032702
40.5	Sapulpa	Apt 25	67 Meadow St	800-613-1713	1963-12-26	F	OK	G	1577780	1964	74066	White	female		USA	carol.allen@example.com	Allen	Carol	71482713
39.2	Tulsa		99 River Ave	800-514-3156	1965-02-13	M	OK	H	613876	1966	74126	White	male		USA	joshua.hill@example.com	Hill	Joshua	72080416
	Sapulpa	Apt 1	48 Hill Rd	800-729-7104	1946-01-17	F	OK	C	736230	1947	74066		female	800-676-5798	USA	mary.long@example.com	Long	Mary	72004454
					1953-03-17				8888801				male				Jones	Philip	71614502
